Model,Trait,Component,AvgVar,MeanDIC,MeanRuntimeSec,TotalVar,Percentage,Model.y,ETA,Category,Description,ComponentLabel
M12,KW,Residual,6.69840539229145,4987.401112362395,218.49655594825745,990463.8185646122,6.762897610938309e-6,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Residual
M12,KW,W,0.25953672062790617,4987.401112362395,218.49655594825745,990463.8185646122,2.6203553907100693e-7,M12,Eta12,Weather-augmented,E + W + G + P + GE + PE + GW + PW,Weather kernel (W)
M13,GY,E,961.2033911225584,6825.46761441674,47.73141388893127,2248.137514983833,0.42755542519803136,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,Environment (E)
M13,GY,GGK,1055.3812604558098,6825.46761441674,47.73141388893127,2248.137514983833,0.46944693259273296,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,Genomic Gaussian (GGK)
M13,GY,GGKE,51.040311962087934,6825.46761441674,47.73141388893127,2248.137514983833,0.022703376293444832,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,GGK × E
M13,GY,GGKW,134.19825882414003,6825.46761441674,47.73141388893127,2248.137514983833,0.05969308279840928,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,GGK × W
M13,GY,Residual,44.72219228837342,6825.46761441674,47.73141388893127,2248.137514983833,0.01989299675411316,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,Residual
M13,GY,W,1.592100330863798,6825.46761441674,47.73141388893127,2248.137514983833,7.081863632684618e-4,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,Weather kernel (W)
M13,KW,E,241.23884795468066,5453.263497827583,83.12792341709137,833.4764044358336,0.28943692547357863,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,Environment (E)
M13,KW,GGK,542.0736673059034,5453.263497827583,83.12792341709137,833.4764044358336,0.6503767406262978,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,Genomic Gaussian (GGK)
M13,KW,GGKE,13.00640092493595,5453.263497827583,83.12792341709137,833.4764044358336,0.015605001960121195,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,GGK × E
M13,KW,GGKW,25.682761067929295,5453.263497827583,83.12792341709137,833.4764044358336,0.03081402296602929,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,GGK × W
M13,KW,Residual,11.056993326537484,5453.263497827583,83.12792341709137,833.4764044358336,0.013266114394710165,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,Residual
M13,KW,W,0.4177338558467507,5453.263497827583,83.12792341709137,833.4764044358336,5.01194579262874e-4,M13,Eta13,Weather-augmented,E + W + GGK + GGKE + GGKW,Weather kernel (W)
